Outcome,PlayerA1_name,PlayerA2_name,TeamA_rack,PlayerB1_name,PlayerB2_name,TeamB_rack,Overtimes,Series_Games,TeamA_wins,TeamB_wins,Game_Number
-1,THOMAS,THOMAS,B9-B10-,BEN,BEN,B8-B9-B10-,0,1,0,1,1
1,ANTHONY,ANTHONY,,BEN,BEN,B8-B9-B10-,0,1,1,0,2
1,ANTHONY,ANTHONY,B9-,THOMAS,THOMAS,A1-A3-A6-A7-A8-A10-,0,1,1,0,3
1,ANTHONY,ANTHONY,,BEN,BEN,A1-A3-A4-A7-A8-A9-A10-,0,1,1,0,4
1,ANTHONY,ANTHONY,B9-,THOMAS,THOMAS,B6-B8-B9-B10-,0,1,1,0,5
-1,ANTHONY,ANTHONY,B9-,BEN,BEN,,0,1,0,1,6
1,BEN,BEN,B9-,THOMAS,THOMAS,B9-,0,1,1,0,7
1,BEN,BEN,B9-,ANTHONY,ANTHONY,B6-B7-B9-B10-,0,1,1,0,8
1,BEN,BEN,A5-,THOMAS,THOMAS,A2-A4-A7-A9-,0,1,1,0,9
1,ANTHONY,ANTHONY,,THOMAS,THOMAS,B7-B9-B10-,0,1,1,0,10
